2.000000000000000000e+00 5.039753917375612104e+02 1.301953776061976625e-02 1.823150698354804658e-02 -2.121317786999120381e-01
3.000000000000000000e+00 4.034793856559913365e+02 1.560164710578027317e-02 1.931661604727105339e-02 -5.763691363851012328e-01
4.000000000000000000e+00 3.795539891979981348e+02 1.438796983038845810e-02 1.745338742859779690e-02 -5.930537940553088916e-01
5.000000000000000000e+00 3.711912772805534928e+02 1.129568830477504712e-02 1.411992541785832278e-02 -5.116508768861477430e-01
6.000000000000000000e+00 3.685061189970799091e+02 7.968711158062568092e-03 1.057181503766133415e-02 -4.112832968787835108e-01
7.000000000000000000e+00 3.685572613593010374e+02 5.351353978296303007e-03 7.577069235856347985e-03 -3.243838044344242166e-01
8.000000000000000000e+00 3.699010706409602562e+02 3.742401747255799573e-03 5.446141742886874242e-03 -2.603778276398950875e-01
9.000000000000000000e+00 3.718627663948886948e+02 3.054291848738840270e-03 4.187427941885484180e-03 -2.230214786850242825e-01
1.000000000000000000e+01 3.740847973845664001e+02 3.014098532196418222e-03 3.651861255018110531e-03 -2.020408067337952640e-01
1.100000000000000000e+01 3.763192098352425887e+02 3.372027808651973171e-03 3.644978357680374575e-03 -1.989605021708980293e-01
1.200000000000000000e+01 3.782828151279227313e+02 3.935356058105386919e-03 3.987615094299428418e-03 -2.062892093512488090e-01
1.300000000000000000e+01 3.800204068791799159e+02 4.602568116559675564e-03 4.540764770734625512e-03 -2.227080923277782454e-01
1.400000000000000000e+01 3.815010538024927200e+02 5.323090421361650372e-03 5.216152521898152240e-03 -2.434272461542772714e-01
1.500000000000000000e+01 3.828087739436354582e+02 6.086671712927147100e-03 5.960915979098475696e-03 -2.685718918238436670e-01
1.600000000000000000e+01 3.838668652341705183e+02 6.891553643503347745e-03 6.749700030567226672e-03 -2.979077895457871161e-01
1.700000000000000000e+01 3.846368425314925048e+02 7.737973876444907521e-03 7.573918318606693775e-03 -3.314044326328082768e-01
1.800000000000000000e+01 3.851102282949311757e+02 8.625454619468966855e-03 8.428753606919366093e-03 -3.688460351430262740e-01
1.900000000000000000e+01 3.852991989382862812e+02 9.548461773957048898e-03 9.312520613798081284e-03 -4.084505904366990681e-01
2.000000000000000000e+01 3.852224334317205034e+02 1.050208167385055513e-02 1.022413659107760352e-02 -4.488159644709510121e-01
2.100000000000000000e+01 3.849039670163772939e+02 1.148893868966599681e-02 1.116179697017009344e-02 -4.916257342882321413e-01
2.200000000000000000e+01 3.843657763613791758e+02 1.251168191088217717e-02 1.212372154964619364e-02 -5.384934586160980974e-01
2.300000000000000000e+01 3.836162475767827686e+02 1.356552126625196371e-02 1.310894941713308323e-02 -5.876669118372018774e-01
2.400000000000000000e+01 3.826620155219689536e+02 1.464536333775040382e-02 1.411647614429092923e-02 -6.372138927302020139e-01
2.500000000000000000e+01 3.815163006126812206e+02 1.575234048096723141e-02 1.514430394985531031e-02 -6.878480820026846576e-01
2.600000000000000000e+01 3.801924478181546192e+02 1.688867965433590509e-02 1.619051812124604542e-02 -7.406885944826583357e-01
2.700000000000000000e+01 3.786977147652272606e+02 1.805476045405009222e-02 1.725452957354458097e-02 -7.958303995508968498e-01
2.800000000000000000e+01 3.770376966347799907e+02 1.924930488670172773e-02 1.833577267810954092e-02 -8.528640975336231334e-01
2.900000000000000000e+01 3.752174261662620438e+02 2.046625196271550234e-02 1.943245000374672210e-02 -9.103869579860940364e-01
3.000000000000000000e+01 3.732424336521117993e+02 2.170136573056705501e-02 2.054267288264771674e-02 -9.674560967736393069e-01
3.100000000000000000e+01 3.711208020381570805e+02 2.296249338710293700e-02 2.166541950310018477e-02 -1.025961345772847588e+00
3.200000000000000000e+01 3.688600550129065141e+02 2.425572212273415657e-02 2.279977002085214338e-02 -1.087439589510897475e+00
